id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,timestamp
1,1970-71,1,1,Athletic Club,Barcelona,1,1,12/09/1970,21942000
2,1970-71,1,1,Las Palmas,Atlético de Madrid,1,1,12/09/1970,21942000
3,1970-71,1,1,Real Madrid,Valencia,2,0,12/09/1970,21942000
4,1970-71,1,1,Celta de Vigo,Sporting de Gijón,2,0,13/09/1970,22028400
5,1970-71,1,1,Elche,Granada,1,1,13/09/1970,22028400
6,1970-71,1,1,Espanyol,Sevilla,0,1,13/09/1970,22028400
8,1970-71,1,1,Zaragoza,Málaga,0,0,13/09/1970,22028400
9,1970-71,1,2,Valencia,Las Palmas,5,1,19/09/1970,22546800
10,1970-71,1,2,Atlético de Madrid,Athletic Club,2,0,20/09/1970,22633200
11,1970-71,1,2,Barcelona,Zaragoza,5,2,20/09/1970,22633200
13,1970-71,1,2,Granada,Espanyol,1,0,20/09/1970,22633200
14,1970-71,1,2,Málaga,Celta de Vigo,2,1,20/09/1970,22633200
15,1970-71,1,2,Real Sociedad,Elche,2,0,20/09/1970,22633200
16,1970-71,1,2,Sevilla,Real Madrid,3,1,20/09/1970,22633200
17,1970-71,1,3,Las Palmas,Athletic Club,1,1,26/09/1970,23151600
18,1970-71,1,3,Real Madrid,Granada,3,2,26/09/1970,23151600
19,1970-71,1,3,Valencia,Sevilla,0,1,26/09/1970,23151600
20,1970-71,1,3,Celta de Vigo,Barcelona,1,1,27/09/1970,23238000
21,1970-71,1,3,Elche,Sporting de Gijón,5,0,27/09/1970,23238000
22,1970-71,1,3,Espanyol,Real Sociedad,0,0,27/09/1970,23238000
24,1970-71,1,3,Zaragoza,Atlético de Madrid,0,1,27/09/1970,23238000
25,1970-71,1,4,Athletic Club,Zaragoza,3,0,04/10/1970,23842800
26,1970-71,1,4,Atlético de Madrid,Celta de Vigo,3,1,04/10/1970,23842800
28,1970-71,1,4,Sporting de Gijón,Espanyol,0,1,04/10/1970,23842800
29,1970-71,1,4,Granada,Valencia,2,2,04/10/1970,23842800
30,1970-71,1,4,Las Palmas,Sevilla,0,0,04/10/1970,23842800
31,1970-71,1,4,Málaga,Elche,1,0,04/10/1970,23842800
32,1970-71,1,4,Real Sociedad,Real Madrid,0,0,04/10/1970,23842800
33,1970-71,1,5,Celta de Vigo,Athletic Club,2,1,11/10/1970,24447600
34,1970-71,1,5,Elche,Barcelona,0,1,11/10/1970,24447600
35,1970-71,1,5,Espanyol,Málaga,1,1,11/10/1970,24447600
36,1970-71,1,5,Real Madrid,Sporting de Gijón,1,1,11/10/1970,24447600
38,1970-71,1,5,Sevilla,Granada,1,0,11/10/1970,24447600
39,1970-71,1,5,Valencia,Real Sociedad,0,0,11/10/1970,24447600
40,1970-71,1,5,Zaragoza,Las Palmas,1,1,11/10/1970,24447600
42,1970-71,1,6,Atlético de Madrid,Elche,3,1,17/10/1970,24966000
43,1970-71,1,6,Barcelona,Espanyol,3,0,17/10/1970,24966000
44,1970-71,1,6,Sporting de Gijón,Valencia,0,1,17/10/1970,24966000
45,1970-71,1,6,Granada,Las Palmas,1,0,18/10/1970,25052400
46,1970-71,1,6,Málaga,Real Madrid,0,2,18/10/1970,25052400
47,1970-71,1,6,Real Sociedad,Sevilla,1,0,18/10/1970,25052400
48,1970-71,1,6,Zaragoza,Celta de Vigo,0,0,18/10/1970,25052400
49,1970-71,1,7,Elche,Athletic Club,1,1,25/10/1970,25657200
50,1970-71,1,7,Espanyol,Atlético de Madrid,0,0,25/10/1970,25657200
51,1970-71,1,7,Granada,Real Sociedad,2,0,25/10/1970,25657200
52,1970-71,1,7,Las Palmas,Celta de Vigo,1,2,25/10/1970,25657200
